Station,Longitude,Latitude
덕적도,126.018889,37.236111
외연도,125.75,36.25
인천,125.428889,37.091667
서해170,124.056944,36.133333
서해190,124.133333,35
칠발도,125.776944,34.793333
부안,125.813889,35.658611
서해206,123.2625,34
가거도,125.214722,34.0275
홍도,125.245556,34.746667
마라도,126.033333,33.083333
서귀포,127.022778,33.128056
남해239,124.733333,32.833333
남해465,126.4,31.666666
거문도,127.501389,34.001389
추자도,126.141111,33.793611
거제도,128.9,34.766667
통영,128.225,34.391667
포항,129.783333,36.35
울산,129.841389,35.345278
울진,129.874444,36.906944
울릉도독도,131.114444,37.455556
동해,129.95,37.480556